descriptor,VIP,VIP_ge_1
maxdO,1.6047476128447529,True
maxssO,1.0607859550319756,True
maxaaO,1.068715774899676,True
maxsOm,0.42014150025749764,False
maxsF,1.0147348733176549,True
maxsSH,0.26183410714743394,False
maxdS,0.7563962747207833,False
maxsCl,0.4539534270430624,False
maxsBr,0.6212572521563136,False
sumI,1.0978426847648142,True
hmax,0.6251142186170805,False
gmax,0.6137178857163402,False
hmin,1.5355260896569332,True
gmin,0.707918335500146,False
LipoaffinityIndex,1.7552214901183771,True
MAXDN,0.6261661653363209,False
MAXDP,0.7780708119992986,False
DELS,0.8488549927253826,False
MAXDN2,0.6680623742526912,False
MAXDP2,0.7779987642747686,False
DELS2,0.8468567646341292,False
ETA_Alpha,1.4064649034073213,True
ETA_AlphaP,0.6189502939083115,False
ETA_dAlpha_A,0.6641365197503931,False
ETA_dAlpha_B,0.7824352889415366,False
ETA_Epsilon_1,1.1248060411024645,True
ETA_Epsilon_2,1.1384117417463926,True
ETA_Epsilon_3,0.8817230348720216,False
ETA_Epsilon_4,1.3680799489015036,True
ETA_Epsilon_5,1.1385514398629906,True
ETA_dEpsilon_A,1.1456651694372304,True
ETA_dEpsilon_B,0.8673494370262719,False
ETA_dEpsilon_C,1.3922166202407071,True
ETA_dEpsilon_D,1.0188064096320317,True
ETA_Psi_1,0.9721126723058501,False
ETA_dPsi_A,0.977006121002354,False
ETA_dPsi_B,0.49831406209262563,False
ETA_Shape_P,1.158972414245563,True
ETA_Shape_Y,0.8031693052590901,False
ETA_Shape_X,0.6954790869047165,False
ETA_Beta,1.2433435743468524,True
ETA_BetaP,0.8058095850037076,False
ETA_Beta_s,1.2983133207053636,True
ETA_BetaP_s,1.1494091694733732,True
ETA_Beta_ns,1.0281794730760434,True
ETA_BetaP_ns,0.797501510775098,False
ETA_dBeta,0.8099199152534466,False
ETA_dBetaP,0.8100436714190397,False
ETA_Beta_ns_d,1.2519569276605091,True
ETA_BetaP_ns_d,1.0344745410333012,True
ETA_Eta,1.2004200820934259,True
ETA_EtaP,1.0290336979195311,True
ETA_Eta_R,1.2193537126122338,True
ETA_Eta_F,1.1100792014144119,True
ETA_EtaP_F,0.6613234474400307,False
ETA_Eta_L,1.3184844669499765,True
ETA_EtaP_L,0.8262068188281433,False
ETA_Eta_R_L,1.394672231900146,True
ETA_Eta_F_L,1.0926368907143542,True
ETA_EtaP_F_L,0.7741063946524644,False
ETA_Eta_B,0.8842813180636035,False
ETA_EtaP_B,0.946649766078208,False
ETA_Eta_B_RC,0.9989490582011701,False
ETA_EtaP_B_RC,0.9247210990920358,False
FMF,0.6701612572149256,False
fragC,1.0848140394775239,True
nHBAcc,1.5735413040510131,True
nHBAcc2,0.9589683429207698,False
nHBAcc3,0.8139007764002217,False
nHBAcc_Lipinski,1.1123606137090296,True
nHBDon,1.0190669566340687,True
nHBDon_Lipinski,0.9934262249117902,False
HybRatio,0.7892495668748173,False
Kier1,1.2420549361832909,True
Kier2,1.1729930016935193,True
Kier3,1.013037889065968,True
nAtomLC,0.8580790156458765,False
nAtomP,0.6432676645826408,False
nAtomLAC,0.8561026320105337,False
MLogP,1.8677030062125584,True
McGowan_Volume,1.3821425156381042,True
MDEC-11,0.7876155651704251,False
MDEC-12,0.7549118250475745,False
MDEC-13,0.7814213961026598,False
MDEC-14,0.699436233197243,False
MDEC-22,1.4854280253368857,True
MDEC-23,1.8973336340098381,True
MDEC-24,0.7816551393446567,False
MDEC-33,1.0226712745966933,True
MDEC-34,0.8308064961463103,False
MDEC-44,0.7216515198617958,False
MDEO-11,0.712503095860118,False
MDEO-12,1.123800707067345,True
MDEO-22,0.8680271309253246,False
MDEN-11,0.8081379888926254,False
MDEN-12,0.8892855471608193,False
MDEN-13,0.8267862697400852,False
MDEN-22,1.1090440639735673,True
MDEN-23,1.2410856018305647,True
MDEN-33,0.5908575360522048,False
MLFER_A,1.765960176241279,True
MLFER_BH,0.9263673525263438,False
MLFER_BO,0.942802690596546,False
MLFER_S,0.9151511984683648,False
MLFER_E,1.083236239855976,True
MLFER_L,1.2467921508213797,True
PetitjeanNumber,0.4003317190452827,False
nRing,1.4233077894317514,True
n3Ring,0.44204215873947156,False
n4Ring,0.3342605278634618,False
n5Ring,0.9763829901588302,False
n6Ring,1.6487346892210262,True
n7Ring,0.9213081366521627,False
n8Ring,0.2514671559744947,False
n12Ring,0.39510554151826305,False
nG12Ring,0.8841404118578382,False
nFRing,0.6525258304275307,False
nF6Ring,0.6023219157632512,False
nF7Ring,0.4074193338691133,False
nF8Ring,0.6037030581323217,False
nF9Ring,0.7755133818272653,False
nF10Ring,0.8280488796120106,False
nF11Ring,0.8672273277104736,False
