descriptor,coefficient_standardised_X,abs_coefficient_standardised_X
minHBint5,0.04661183477181496,0.04661183477181496
minHBint6,0.03008867193013242,0.03008867193013242
minHBint7,0.10662435412202732,0.10662435412202732
minHBint8,-0.0513884044258493,0.0513884044258493
minHBint9,0.021476522929705574,0.021476522929705574
minHBint10,0.1291021489227757,0.1291021489227757
minHsOH,-0.0316626957145979,0.0316626957145979
minHdNH,0.004192080033309209,0.004192080033309209
minHsSH,-0.002119568123072466,0.002119568123072466
minHsNH2,0.028684941406203028,0.028684941406203028
minHssNH,-0.009985347556587773,0.009985347556587773
minHaaNH,-0.018987541163570397,0.018987541163570397
minHtCH,-0.06109350228299194,0.06109350228299194
minHdCH2,0.007310730968294662,0.007310730968294662
minHdsCH,-0.0458866793167452,0.0458866793167452
minHaaCH,0.009249040507256542,0.009249040507256542
minHCHnX,-0.09832565079546467,0.09832565079546467
minHCsats,-0.024619724174089516,0.024619724174089516
minHCsatu,-0.06456294402530387,0.06456294402530387
minHAvin,0.14035904120808582,0.14035904120808582
minHother,0.08678320187989284,0.08678320187989284
minsCH3,-0.0877312653732943,0.0877312653732943
mindCH2,-0.0010872195486885646,0.0010872195486885646
minssCH2,0.011838816888627531,0.011838816888627531
mintCH,0.05262260591931707,0.05262260591931707
mindsCH,-0.10749766093843963,0.10749766093843963
minaaCH,0.01172134698722445,0.01172134698722445
minsssCH,-0.07169631467653692,0.07169631467653692
mintsC,0.04366215852957364,0.04366215852957364
mindssC,-0.01686940570545596,0.01686940570545596
minaasC,-0.01231645404506257,0.01231645404506257
minaaaC,-0.12046905338858874,0.12046905338858874
minssssC,-0.031904242978316844,0.031904242978316844
minsNH2,-0.04546881498494256,0.04546881498494256
mindNH,-0.01246253371343508,0.01246253371343508
minssNH,-0.05444543826350514,0.05444543826350514
minaaNH,-0.04922821649894098,0.04922821649894098
mintN,0.01708052056414152,0.01708052056414152
mindsN,-0.043629237269534174,0.043629237269534174
minaaN,0.06677558728305685,0.06677558728305685
minsssN,0.08790317437944098,0.08790317437944098
minaasN,-0.04755060407843441,0.04755060407843441
minssssNp,0.003856252058041393,0.003856252058041393
minsOH,0.0366852613678671,0.0366852613678671
mindO,-0.11117554152985963,0.11117554152985963
minssO,-0.037090819836863714,0.037090819836863714
minaaO,0.0015545432473901668,0.0015545432473901668
minsOm,0.03351191477552597,0.03351191477552597
minsF,-0.0010763343623168527,0.0010763343623168527
mindsssP,-0.005803515901462941,0.005803515901462941
minsSH,-0.002119568123072477,0.002119568123072477
mindS,0.044655705111338276,0.044655705111338276
minssS,-0.05277492726535768,0.05277492726535768
minaaS,-0.030084923282196023,0.030084923282196023
mindssS,-0.02004592967925495,0.02004592967925495
