descriptor,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio
SdO,1.409745015358176,True,0.035653008905383254,0.035653008905383254,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787
WPOL,1.4081660002014653,True,0.01480031637501698,0.01480031637501698,Wiener numbers,integer_count_like,not_assigned,False,False,0.0415400202634245
VP-5,1.407780492845951,True,0.05457545212937234,0.05457545212937234,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115
ETA_Alpha,1.4064649034073213,True,0.0024441743878191686,0.0024441743878191686,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0187436676798378
ATSc4,1.3995295264347254,True,0.09811216982759954,0.09811216982759954,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115
nAtom,1.3953487391310442,True,-0.004273490241135686,0.004273490241135686,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0430597771023302
ETA_Eta_R_L,1.394672231900146,True,0.005973770414570935,0.005973770414570935,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0116514690982776
SP-1,1.394672176215552,True,0.005974082545980312,0.005974082545980312,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0116514690982776
ETA_dEpsilon_C,1.3922166202407071,True,0.004678842593711242,0.004678842593711242,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.011144883485309
nBondsS,1.3908137656496737,True,-0.010255616300562626,0.010255616300562626,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0552178318135764
McGowan_Volume,1.3821425156381042,True,-0.0033147293090886962,0.0033147293090886962,McGowan volume,continuous_float_like,not_assigned,False,False,0.0106382978723404
SP-2,1.3797468834480306,True,0.015993090281718813,0.015993090281718813,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545
nwHBa,1.3742132768715827,True,0.040416047572122964,0.040416047572122964,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.1236068895643363
VABC,1.3730192564991077,True,0.0005518473402688689,0.0005518473402688689,Van der Waals volume,continuous_float_like,not_assigned,False,False,0.0106382978723404
nHeavyAtom,1.3722558843238348,True,0.007936563979372115,0.007936563979372115,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0795339412360689
ETA_Epsilon_4,1.3680799489015036,True,0.0008995475757348015,0.0008995475757348015,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.011144883485309
VP-0,1.3671253998029365,True,-0.008305575726388653,0.008305575726388653,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0060790273556231
naasC,1.353753196610474,True,-0.017491797021709242,0.017491797021709242,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.2411347517730496
SHaaCH,1.3537472132802064,True,-0.027871043603232615,0.027871043603232615,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0288753799392097
BCUTc-1l,1.3408093223756365,True,0.03801902067629615,0.03801902067629615,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0065856129685916
nH,1.3360874999472532,True,-0.013120776651302261,0.013120776651302261,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0536980749746707
nBondsD2,1.3324595350548654,True,0.04600070719266853,0.04600070719266853,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.32016210739615
maxssCH2,1.3261153886383075,True,0.10683952289376292,0.10683952289376292,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.2649442755825734
SaaN,1.321411937162831,True,-0.11414934788299502,0.11414934788299502,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818
ETA_Eta_L,1.3184844669499765,True,0.01854438950003807,0.01854438950003807,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0045592705167173
SaasC,1.3171744354492056,True,0.05008659622347466,0.05008659622347466,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0268490374873353
SP-0,1.3124455761820097,True,0.009033507053150825,0.009033507053150825,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0263424518743667
naaN,1.3106090241732427,True,-0.10929006753178139,0.10929006753178139,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.7583586626139818
maxssNH,1.3086776177376533,True,-0.05948871088935564,0.05948871088935564,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
SHother,1.3053486438176929,True,-0.0023808268029941026,0.0023808268029941026,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0060790273556231
minssNH,1.300511749609937,True,-0.05444543826350514,0.05444543826350514,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8302938196555217
naAromAtom,1.2985927601551481,True,0.004221450811403925,0.004221450811403925,Aromatic atoms count,integer_count_like,not_assigned,False,False,0.2806484295845998
