dataset_name,n_components,fold,rmse,mae,r2
primary_remove_constant_only,29,4,0.8120531449258382,0.6312965255161209,0.6584341676474516
primary_remove_constant_only,29,5,0.8198780452410187,0.633252260833323,0.6660455044304259
primary_remove_constant_only,30,1,0.9002075472382411,0.6732458698264391,0.6000198583454669
primary_remove_constant_only,30,2,0.8628168890558562,0.6417247794995257,0.6395120384153827
primary_remove_constant_only,30,3,0.8005468890624123,0.6151394741827823,0.6901771259444347
primary_remove_constant_only,30,4,0.8074705649478959,0.630186112812461,0.6622783402499152
primary_remove_constant_only,30,5,0.8235754243305695,0.6342392699233493,0.6630266638904493
primary_remove_constant_only,31,1,0.9013186858936854,0.6734100253062218,0.5990318468956224
primary_remove_constant_only,31,2,0.8718356831559002,0.6427890869345574,0.631936483206905
primary_remove_constant_only,31,3,0.8000735442592337,0.6138499373816445,0.6905433997831587
primary_remove_constant_only,31,4,0.8063798532998417,0.6321956986567191,0.6631900964928172
primary_remove_constant_only,31,5,0.8186482536096535,0.6308315376746987,0.6670465958289045
primary_remove_constant_only,32,1,0.9050230733504281,0.677362528566587,0.5957291443773481
primary_remove_constant_only,32,2,0.8915137571691283,0.6506765114306912,0.6151339615017422
primary_remove_constant_only,32,3,0.79505160592376,0.6085661564371417,0.6944160303426951
primary_remove_constant_only,32,4,0.808948251464214,0.6323713258221876,0.6610411350882962
primary_remove_constant_only,32,5,0.8214245294355814,0.6341698425826002,0.6647844816950039
primary_remove_constant_only,33,1,0.9056705107233614,0.6781315154897817,0.5951505211565384
primary_remove_constant_only,33,2,0.9042875931282125,0.6526358402596346,0.6040260318786512
primary_remove_constant_only,33,3,0.7938176889106242,0.6083054933122698,0.6953638245597837
primary_remove_constant_only,33,4,0.8155264582682066,0.6336502595113104,0.6555060284474405
primary_remove_constant_only,33,5,0.8210442627217867,0.6376563100794939,0.6650947762953852
primary_remove_constant_only,34,1,0.9013012328210616,0.6755859870806769,0.5990473753843797
primary_remove_constant_only,34,2,0.9112545697854094,0.6569254177267211,0.5979010587794712
primary_remove_constant_only,34,3,0.7920682110080218,0.6073312656156018,0.6967051072785566
primary_remove_constant_only,34,4,0.8124425416322404,0.6285643324998232,0.6581065129853529
primary_remove_constant_only,34,5,0.8138645331989629,0.6333042287868862,0.6709264121060213
primary_remove_constant_only,35,1,0.9018003781005158,0.6769402668821839,0.5986031531419477
primary_remove_constant_only,35,2,0.9047746250645288,0.6541004023101398,0.6035993890648502
primary_remove_constant_only,35,3,0.7912535284427898,0.6059534144022197,0.6973286949593624
primary_remove_constant_only,35,4,0.8171148114276027,0.6300002362630556,0.6541628201776742
primary_remove_constant_only,35,5,0.8084430083327162,0.6309746837304842,0.675296029597457
primary_remove_constant_only,36,1,0.9044494448483431,0.6774590785805205,0.5962414579292767
primary_remove_constant_only,36,2,0.8986778896289953,0.655567009252425,0.6089236036679089
primary_remove_constant_only,36,3,0.7972223368598087,0.6099640582150466,0.6927450793463685
primary_remove_constant_only,36,4,0.8216089536792864,0.6341524790012699,0.6503481404421396
primary_remove_constant_only,36,5,0.8072493979621008,0.6317823755777543,0.6762541278486572
primary_remove_constant_only,37,1,0.8963913058486358,0.675459384906286,0.6034039341747883
primary_remove_constant_only,37,2,0.8991979386272904,0.6581666023363363,0.6084708547210401
primary_remove_constant_only,37,3,0.7945451925785563,0.6090338399833969,0.6948051937984356
primary_remove_constant_only,37,4,0.8212821508935584,0.6350990655498945,0.6506262398367313
