dataset_name,n_components,fold,rmse,mae,r2
block_X_only,21,5,0.8705006301647995,0.6767510045095027,0.6235329595808572
block_X_only,22,1,0.9310844667262012,0.7142047964662281,0.5721108312473969
block_X_only,22,2,0.9160411813046059,0.6831334833932073,0.5936656969618768
block_X_only,22,3,0.8330442014064424,0.6316482923455956,0.6645127486838274
block_X_only,22,4,0.801923544550654,0.6290310663131382,0.6669024452351433
block_X_only,22,5,0.867275064958934,0.6720535100498396,0.6263177231237074
block_X_only,23,1,0.937218203468388,0.7178076108222885,0.566454621612367
block_X_only,23,2,0.9046845113589801,0.6801636731059152,0.6036783465158394
block_X_only,23,3,0.8296150064026744,0.6280761631380839,0.6672691049723065
block_X_only,23,4,0.7991633571391855,0.6300109779690359,0.6691915147988345
block_X_only,23,5,0.8632646163036408,0.6657182093325301,0.6297656917292054
block_X_only,24,1,0.9383362033467426,0.7181898306143314,0.5654196592567098
block_X_only,24,2,0.9117506902034411,0.6877932630098773,0.5974631047628342
block_X_only,24,3,0.826309210667063,0.6267868505264164,0.6699155105462358
block_X_only,24,4,0.7948818903331335,0.6307741929942858,0.6727265906888362
block_X_only,24,5,0.8540986713591754,0.6632677506650893,0.6375860779016996
block_X_only,25,1,0.9416607878851689,0.7226506817578838,0.5623347125528371
block_X_only,25,2,0.9190942268730576,0.6961222320057633,0.5909526651113544
block_X_only,25,3,0.8245314013717101,0.6249176542646232,0.671334340167908
block_X_only,25,4,0.7920153608779762,0.6274323165955694,0.6750827829868566
block_X_only,25,5,0.8523218148793748,0.6620228529075585,0.6390924323938039
block_X_only,26,1,0.9446858269403073,0.7255089352036377,0.5595182394146825
block_X_only,26,2,0.9086682672428458,0.6897962585530946,0.6001802763935864
block_X_only,26,3,0.8269549438964873,0.6263930585564395,0.6693994088156175
block_X_only,26,4,0.7927723203302168,0.630290252505121,0.6744614145076842
block_X_only,26,5,0.8515967920604084,0.6650601333662313,0.6397061792791391
block_X_only,27,1,0.9432980476757359,0.7255282897049782,0.5608114576067876
block_X_only,27,2,0.904607193914131,0.6882571431462311,0.6037460856399011
block_X_only,27,3,0.8235906361713513,0.6225729487475121,0.6720839073099457
block_X_only,27,4,0.7930802951110845,0.6293162202810307,0.6742084360776331
block_X_only,27,5,0.8538120519180382,0.6694312925348778,0.6378292756727959
block_X_only,28,1,0.9428586950846918,0.7227215794253048,0.5612204771910311
block_X_only,28,2,0.908668513902348,0.686734478068843,0.6001800593301079
block_X_only,28,3,0.8234080370918426,0.6244666308923574,0.6722292963815022
block_X_only,28,4,0.7954482990944461,0.6312535409327493,0.6722600142745409
block_X_only,28,5,0.8485466692725611,0.6646177432533066,0.6422824510370073
block_X_only,29,1,0.9457053632711708,0.7262863420804367,0.5585669612646852
block_X_only,29,2,0.9104787240740948,0.6863805848234178,0.5985854645307455
block_X_only,29,3,0.8215375221173356,0.6244610932043075,0.6737167815648681
block_X_only,29,4,0.7915459460457105,0.6285669460146414,0.6754678153235751
block_X_only,29,5,0.8477219532487609,0.6631388520419393,0.6429774558970147
block_X_only,30,1,0.9459471688823743,0.7261664869774308,0.5583411940520142
block_X_only,30,2,0.9184407030739571,0.6924265163347666,0.5915341661599135
block_X_only,30,3,0.8202054350245251,0.623261227637101,0.6747740316093838
block_X_only,30,4,0.7903619646864452,0.6252785124201159,0.6764379489944994
block_X_only,30,5,0.8517521663923716,0.6670013271920296,0.6395746956496648
block_Y_only,1,1,1.2354585170678396,0.9938914772777844,0.24662801596023587
block_Y_only,1,2,1.3449838628169346,1.0780410216136835,0.12403321586469795
block_Y_only,1,3,1.2300764081510578,1.0069103009760223,0.26851721740676904
block_Y_only,1,4,1.2011412449250911,0.9924832410559129,0.2527022484395347
block_Y_only,1,5,1.2275249521493912,0.9980380662508249,0.2514006634023356
block_Y_only,2,1,1.0887991030104212,0.849051614708659,0.4148750199893749
block_Y_only,2,2,1.1690954250025083,0.9189555020936931,0.3381593877669933
block_Y_only,2,3,1.0797087357080009,0.871873782012988,0.4364231305505799
block_Y_only,2,4,1.0767064348621274,0.8719955070140575,0.3995178077589464
block_Y_only,2,5,1.1204749418683104,0.8970409682265456,0.3762751070903918
block_Y_only,3,1,1.0628681238037676,0.8292063319167883,0.4424139557100334
block_Y_only,3,2,1.2033403050276767,0.9030092405924972,0.2988185507104616
block_Y_only,3,3,1.0029602939045106,0.79813686932479,0.5136964832756703
block_Y_only,3,4,0.9908398650125231,0.7831168955603897,0.4914748244937648
block_Y_only,3,5,1.0542777478056002,0.8375675652992242,0.4477968744931824
block_Y_only,4,1,1.0436758174723613,0.8126055919527277,0.4623689138010528
block_Y_only,4,2,1.1246335321086387,0.8767576651922052,0.38754307763374385
block_Y_only,4,3,0.9857173694144497,0.7899911383221536,0.5302738388186903
block_Y_only,4,4,0.9718750167225245,0.7643274384975844,0.5107550497557874
block_Y_only,4,5,1.0074444025471065,0.8031108420301557,0.49576735813848427
block_Y_only,5,1,1.025838416007153,0.7915208905171773,0.4805891136078577
block_Y_only,5,2,1.1064608984282505,0.8418366331508362,0.4071761973789165
block_Y_only,5,3,0.9679863659071848,0.776234082537995,0.5470206433979559
block_Y_only,5,4,0.9585172288111673,0.7468681920394284,0.5241113330896444
block_Y_only,5,5,0.9679924284462447,0.7650287758487201,0.5344860491327093
block_Y_only,6,1,1.032264314208089,0.8022305734924223,0.47406150629272903
block_Y_only,6,2,1.0882982560102794,0.8087378939207868,0.4264789565802516
block_Y_only,6,3,0.9310249796879524,0.7422330280561881,0.5809531342159855
block_Y_only,6,4,0.9572949419342833,0.7316330172299633,0.5253242515118033
block_Y_only,6,5,0.9617515239066728,0.7557377396854761,0.5404692834122979
block_Y_only,7,1,1.0212078952035157,0.786291960585272,0.4852676567458083
block_Y_only,7,2,1.089354494031002,0.8073548749606498,0.42536516503829425
block_Y_only,7,3,0.9144975583893048,0.7237503215542405,0.595698799823827
block_Y_only,7,4,0.955128390914432,0.7307309348987856,0.5274703935909293
block_Y_only,7,5,0.9607072876558101,0.7562056400262376,0.5414666265177535
block_Y_only,8,1,0.9918247447663971,0.7743665394604288,0.5144622417266884
block_Y_only,8,2,1.1201192776698545,0.8072206337424519,0.39244998713893187
block_Y_only,8,3,0.9259418503980317,0.7416450959076777,0.5855163944071747
block_Y_only,8,4,0.945381726671443,0.7167737012697677,0.5370651003702759
block_Y_only,8,5,0.932758338287317,0.7357325573038727,0.5677579042180838
block_Y_only,9,1,0.9864914319372097,0.7738035147297546,0.5196699409247043
block_Y_only,9,2,1.0736314279405066,0.7936916831615412,0.441833300238038
block_Y_only,9,3,0.9184800285382125,0.7344718090715363,0.5921698164382054
block_Y_only,9,4,0.9332914889443567,0.7057762195374091,0.548830091373868
block_Y_only,9,5,0.9229195788809204,0.7171280527163276,0.5768284145088561
block_Y_only,10,1,0.9904177051379084,0.776257305428574,0.5158388685647786
block_Y_only,10,2,1.0558919538510403,0.7902082333121595,0.46012595105842424
block_Y_only,10,3,0.9055033737533531,0.7166691978879244,0.603612386055043
block_Y_only,10,4,0.9192527175542795,0.6963840861639908,0.5623011956387105
block_Y_only,10,5,0.9143338172009288,0.7126281259509479,0.5846651767027783
block_Y_only,11,1,0.9851464787222309,0.7731078589266797,0.520978783663807
block_Y_only,11,2,1.0151554759626245,0.7654069588570391,0.5009792387915228
block_Y_only,11,3,0.9049803672003379,0.7172354866447639,0.604070150111907
block_Y_only,11,4,0.9185952284921863,0.7030702718496099,0.5629270937269578
block_Y_only,11,5,0.91407362622322,0.7170807687852958,0.5849015258250625
block_Y_only,12,1,0.971055669085058,0.7625951369876489,0.5345839172262223
block_Y_only,12,2,1.003586202454467,0.7581050024875708,0.5122886586867743
block_Y_only,12,3,0.9002726325628696,0.7132385454991687,0.6081787133896746
block_Y_only,12,4,0.8927659639202337,0.6825939781036963,0.5871609548741894
block_Y_only,12,5,0.9077968452762442,0.710757129241886,0.5905827673093774
block_Y_only,13,1,0.9763589438084216,0.7637085446605559,0.5294864354681893
block_Y_only,13,2,0.9945785026616347,0.7605890447308981,0.5210042865414128
block_Y_only,13,3,0.8820985217431,0.6955520463657203,0.6238386949682955
block_Y_only,13,4,0.8966317483625587,0.6881437568899078,0.583577928317241
block_Y_only,13,5,0.9015614480652382,0.7062446664230566,0.5961877913531406
