feature,importance_mean,importance_sd
ETA_Shape_X,0.0002760295092746473,7.205611898204465e-05
maxssssC,0.00027570760129254633,7.71949219207231e-05
MDEN-33,0.00023481607061013322,3.883362747439529e-05
SHAvin,0.00023430650062264413,6.21755406273927e-05
apol,0.00022673333978742716,2.8727245216143565e-05
Zagreb,0.00022389510817145408,0.0001376926670022633
minsCl,0.00022365384877453265,3.5205503513123264e-05
SHBint2,0.00022206960390302178,5.265032863002521e-05
SsF,0.00021140402245557188,5.667824177866072e-05
minssS,0.00020716542248916392,5.050939044474719e-05
nHBd,0.00020239020517130724,5.569571501781278e-05
SHssNH,0.00020216747515222345,9.686890158871766e-05
ETA_Beta_s,0.00020201125029702116,6.458799980653822e-05
nT6Ring,0.0002001725163478324,5.053932251223535e-05
nBondsS,0.00019052307006029446,4.424336583965256e-05
maxsssN,0.00018372268330626995,4.548380315242048e-05
nsCH3,0.00017910079706130177,5.0982940631871676e-05
nT7Ring,0.0001676320085460564,2.62747289844605e-05
nF10Ring,0.00016673259451802368,6.793723157387379e-05
minHaaNH,0.00014369710812255077,4.892937621448527e-05
MDEN-13,0.0001430404728926471,8.118319629485332e-05
ETA_dPsi_A,0.00013711104937399465,3.310872817536414e-05
naAromAtom,0.00012791733351021073,5.9593742991056914e-05
maxHBint2,0.00011067114920184085,3.0058366242995996e-05
nHBDon_Lipinski,0.00010477062749081334,4.1195401604661725e-05
minaaNH,9.733139520187172e-05,3.954910743705001e-05
n7Ring,9.383737631109557e-05,4.6249200688338774e-05
maxaaO,9.201766190543026e-05,8.883926132536191e-06
SsBr,9.191382317174645e-05,2.2962821690508852e-05
minHdsCH,9.162753446476657e-05,1.463962504756465e-05
maxHAvin,8.885331365062477e-05,2.5923065682841692e-05
nHBint4,8.568667353844872e-05,4.0670385925743106e-05
nBondsD2,8.169907997243875e-05,2.8282164533187033e-05
minaaS,8.141526255316667e-05,2.096687230861275e-05
MDEN-22,7.955123834528788e-05,2.4307046221246458e-05
nHBint5,7.733788201007008e-05,3.1642438750558616e-05
C1SP1,6.762541922546161e-05,4.9942714300011234e-05
nAtom,5.585616073253141e-05,2.557951113869209e-05
nTRing,5.201272424046055e-05,3.759207613397727e-05
nN,5.175781215639441e-05,1.4248099259152706e-05
minaasN,5.003198105837103e-05,2.6448298527551188e-05
SdS,4.549673307175095e-05,2.6304316699424434e-05
C3SP3,4.273161293127103e-05,3.4970911467965996e-05
nX,3.680282156026116e-05,3.4521765082042666e-05
ndsN,3.3277598279229936e-05,1.9005121135290043e-05
nsssN,3.0311236971167222e-05,1.0213692721783544e-05
n5Ring,3.0171112730986716e-05,8.481706359073865e-06
nBase,2.9266860475232748e-05,8.97271580752677e-06
naaN,2.8022259862986453e-05,8.665140831367155e-06
ndS,2.7944348606909197e-05,8.00396967246567e-06
naasN,2.711004802804784e-05,2.5355750193577212e-05
SdCH2,2.3775576276843792e-05,1.5376819273975677e-05
nF,2.363494031584479e-05,1.0291596510644782e-05
ndO,2.3211626402794284e-05,1.798705441936729e-05
nHsOH,2.3025636529405703e-05,2.139705753774174e-05
SsNH2,2.1849553241889973e-05,1.6764243084625702e-05
SssS,1.9628396736801058e-05,1.1287321993627671e-05
nHother,1.3940883834395735e-05,8.671239575227155e-06
SssNH,1.2664447799146106e-05,5.747852229862863e-06
maxHaaNH,7.815287391338411e-06,9.343955796858645e-06
nC,2.9964695912265694e-06,2.387947525962034e-06
nHBDon,0.0,0.0
LipinskiFailures,0.0,0.0
VAdjMat,0.0,0.0
nHBAcc3,0.0,0.0
n3Ring,0.0,0.0
ETA_dPsi_B,0.0,0.0
nF12Ring,0.0,0.0
ETA_Eta_R_L,0.0,0.0
n8Ring,0.0,0.0
n12Ring,0.0,0.0
nRing,0.0,0.0
nG12Ring,0.0,0.0
nFRing,0.0,0.0
nF6Ring,0.0,0.0
nF7Ring,0.0,0.0
nF8Ring,0.0,0.0
nF9Ring,0.0,0.0
nFG12Ring,0.0,0.0
nTG12Ring,0.0,0.0
MDEN-12,0.0,0.0
nT4Ring,0.0,0.0
nT5Ring,0.0,0.0
nT8Ring,0.0,0.0
nT9Ring,0.0,0.0
n4Ring,0.0,0.0
MDEN-11,0.0,0.0
nT11Ring,0.0,0.0
MDEC-44,0.0,0.0
nT12Ring,0.0,0.0
nT10Ring,0.0,0.0
nAcid,0.0,0.0
ETA_dAlpha_A,0.0,0.0
nssO,0.0,0.0
ndsCH,0.0,0.0
naaCH,0.0,0.0
ntsC,0.0,0.0
naaaC,0.0,0.0
nssssC,0.0,0.0
nsNH2,0.0,0.0
ndNH,0.0,0.0
nssNH,0.0,0.0
naaNH,0.0,0.0
ntN,0.0,0.0
nssssNp,0.0,0.0
nsOH,0.0,0.0
naaO,0.0,0.0
ndCH2,0.0,0.0
nsOm,0.0,0.0
nsF,0.0,0.0
ndsssP,0.0,0.0
nsSH,0.0,0.0
nssS,0.0,0.0
naaS,0.0,0.0
ndssS,0.0,0.0
nddssS,0.0,0.0
nsCl,0.0,0.0
nsBr,0.0,0.0
nsI,0.0,0.0
SwHBd,0.0,0.0
ntCH,0.0,0.0
nHAvin,0.0,0.0
maxsBr,0.0,0.0
VCH-3,0.0,0.0
nHeavyAtom,0.0,0.0
nO,0.0,0.0
nS,0.0,0.0
nP,0.0,0.0
nCl,0.0,0.0
nBr,0.0,0.0
nI,0.0,0.0
nBondsT,0.0,0.0
C2SP1,0.0,0.0
C4SP3,0.0,0.0
SCH-3,0.0,0.0
SCH-4,0.0,0.0
VCH-4,0.0,0.0
nHCsatu,0.0,0.0
nwHBd,0.0,0.0
nHBa,0.0,0.0
nHBint2,0.0,0.0
nHdNH,0.0,0.0
nHsSH,0.0,0.0
nHsNH2,0.0,0.0
nHssNH,0.0,0.0
nHaaNH,0.0,0.0
nHtCH,0.0,0.0
nHdCH2,0.0,0.0
nHdsCH,0.0,0.0
nHCHnX,0.0,0.0
SHdNH,0.0,0.0
SHsSH,0.0,0.0
SHsNH2,0.0,0.0
maxdCH2,0.0,0.0
minsSH,0.0,0.0
mindS,0.0,0.0
mindssS,0.0,0.0
minddssS,0.0,0.0
minsI,0.0,0.0
maxwHBd,0.0,0.0
maxHdNH,0.0,0.0
maxHsSH,0.0,0.0
maxHsNH2,0.0,0.0
maxHtCH,0.0,0.0
maxHdCH2,0.0,0.0
maxHCHnX,0.0,0.0
maxtCH,0.0,0.0
SHtCH,0.0,0.0
maxtsC,0.0,0.0
maxsNH2,0.0,0.0
maxdNH,0.0,0.0
maxssNH,0.0,0.0
maxaaNH,0.0,0.0
maxtN,0.0,0.0
maxdsN,0.0,0.0
