descriptor,PLS1_corr_loading,PLS2_corr_loading,PLS3_corr_loading,PLS4_corr_loading,PLS5_corr_loading,PLS6_corr_loading,PLS7_corr_loading,PLS8_corr_loading,PLS9_corr_loading,PLS10_corr_loading,PLS11_corr_loading,PLS12_corr_loading,PLS13_corr_loading,PLS14_corr_loading,PLS15_corr_loading,PLS16_corr_loading,PLS17_corr_loading,PLS18_corr_loading,PLS19_corr_loading,PLS20_corr_loading
nC,0.9447047036800916,0.241596537998673,-0.04706891597991086,-0.06654783012145554,-0.006113196691964594,-0.03463335126449327,0.04406861972125143,0.01605424081438647,-0.011335023526868554,0.021640423334411636,0.059505577938287584,-0.04895075786011931,-0.020325131615132178,-0.008384613916959546,-0.07375264211336825,-0.09889674970455589,0.07749416960655223,0.011114434327715349,-0.004675046708138958,-0.004507491038091123
nN,0.08541553559453738,0.7671380998258078,0.10970432021068435,0.05340085966772896,-0.17061673750269793,-0.28163028139583623,0.27795390028221395,-0.14110594516937855,-0.02258364463051993,-0.042718606440558055,-0.07318592522674752,-0.007517950718359838,-0.01603336674477434,-0.0031177598974720644,-0.09091945195563338,-0.09773143058522864,0.02523855360286327,0.019885495301811218,0.05146124928603759,-0.0937435152212888
nO,0.3362032391876616,0.3498949781085316,0.23813862940535466,-0.5664033233350507,-0.055517094396138944,0.24235850233935435,-0.11696571850892964,0.03830506601939177,0.10667913227627332,-0.011725856176134128,0.06029815793821763,0.07192684744060548,-0.014359453130890513,-0.1312207655986905,0.23059281353996222,0.19066114310613017,-0.1522982863280496,-0.029376294799227636,-0.015572619583224999,0.11365138588357085
nS,0.08623168388653334,0.2528661892180629,-0.09366131110903675,0.10300581905307593,-0.43655308662840775,0.14768683600298943,-0.04542750932424943,-0.27778838142688606,0.014039951954834935,-0.12280063310326862,-0.2318999648360692,0.16192493926283563,0.10448379609340926,0.2736069888864781,-0.016165263340946867,0.19882400970084177,-0.23026845422240225,-0.18541979640330242,-0.16635698569509638,0.02888468928156273
nP,-0.014678702500159608,0.06770370583846057,-0.05068878142869188,-0.0218741442573617,-0.031188471654879688,0.07939057036148917,-0.03598221988993133,0.04732087253888038,-0.04365043145498367,0.06974237931753996,-0.013431406851699782,0.06865479535094894,-0.009801071377661641,0.090115303922936,0.007188384941194713,-0.006572156362731094,-0.013815863423820381,-0.12944130201201004,-0.01664101002575239,-0.04439209987021027
nF,-0.033231951682387975,-0.006717340408282658,0.29770744921590636,-0.03017069534640868,-0.29859626068459294,0.023768355061659693,-0.5780294442099612,0.2969199843295641,-0.13890259836129515,0.0815029312233056,-0.024252072893123082,0.06317220236012679,-0.19502782401652854,-0.04318383613100207,-0.17659398018105957,-0.16391425686895145,0.17774590813622757,0.0567948647454626,0.07665666519415534,-0.21768202583608823
nCl,-0.12648446282911388,-0.0046460165348639745,0.026365458654515145,0.024701373975748633,-0.08390114860653732,-0.09693911523695511,-0.001386122417907617,-0.04174208371854676,-0.09861502157601068,0.006032479347817516,-0.09057588997710707,0.17376499270501075,0.0023619243699451327,0.31440756185569146,0.05337069831617513,0.2340021602536642,0.03810220993098419,0.09812153721450328,-0.07864660367393259,0.2329578112744404
nBr,-0.1725581865340176,-0.005635616332184778,0.03031216907899935,0.10135217236087073,-0.026912376222944342,-0.1696699880313508,-0.11215921436045369,0.020436856522165526,-0.1031108414118181,-0.057948380278096505,-0.1733124964879462,0.04965175487417202,0.17174462584291617,0.06245974031113577,0.05304861798422668,0.1547100039480239,-0.17234685333525213,-0.040970529900625045,0.0014853957696728027,-0.09326705426654396
nI,-0.04780067009302823,0.004138533212813825,-0.000199998589402557,0.01011256939869792,0.09124670678565942,-0.07729682733646957,-0.06692002924280241,-0.008245831673721286,-0.2504993999373407,-0.017259103066417796,-0.18043166260302662,-0.08434040810654392,0.13720647493771795,-0.07353510685855179,-0.03265326856671531,-0.03814668444793086,-0.19181420011648878,-0.05198876943824863,0.11385606750624128,0.04861086404214824
nX,-0.13759295874504676,-0.00924238949461918,0.28443505404605035,0.014329891370129669,-0.3009248703534741,-0.07611405156945024,-0.5525749847171432,0.251494305401284,-0.21595556176134958,0.05640997256949298,-0.1256698061783688,0.13692755985544863,-0.11024293393315855,0.10632773382024074,-0.12142889902467331,-0.00461042202555928,0.1072408213184751,0.0753653928312124,0.04481571626259613,-0.11879286229339425
ATSc1,0.35696958464465406,0.676855884812262,0.14629439958486595,-0.39285028165330493,-0.2439931963905043,0.08026740941514608,-0.11144671685005024,-0.06567172441336645,-0.019901828438155286,0.016863424637294545,0.013240630997028078,0.13470746382181742,-0.16481076306589756,-0.11833198008558828,0.08370760545313512,0.06415489034435622,-0.025417841878573606,0.08359552909773142,0.0776942714217273,-0.0753587549630703
ATSc2,-0.31678302802458963,-0.652952391214046,-0.02420065823077013,0.3696879322548216,0.2689557552134632,-0.10592140488321848,0.08784258521154956,0.09898270975774161,0.10734718932387119,-0.06247489370797876,-0.013915322451559553,-0.06562347257890007,0.12603383959277797,0.09353000193435933,0.03202217602788308,-0.03136034629816207,0.0008897845566089795,-0.08850571929931433,-0.03546281804633913,0.11000650412349218
ATSc3,-0.32214826124827717,0.2715505356975104,-0.18764481092699864,-0.23386856895307814,-0.046128629757374494,0.10310076233118418,-0.05584974367975034,0.11960166370563577,-0.13825309281727094,0.03241298380430425,-0.05997107898693698,-0.25644278566482326,0.0855089097032921,-0.05024078941358751,-0.20573996783684528,0.003099442551023723,0.057545043013461465,-0.038336886033047426,-0.1747178190174606,-0.013771651961548927
ATSc4,0.4176795636920362,0.1305537504840017,0.23634058914236747,0.29877133598822037,-0.06022762869919272,-0.08675796910054671,0.1820380710382846,-0.2086632634604204,-0.029338435105294058,0.10842960775838247,0.013438644679945835,0.19383015062759548,-0.04154191347508464,0.07427197292111144,-0.019244307521433645,-0.049460493655491856,-0.038624193867091546,0.04511811352541148,0.13009343448844873,-0.02790893973659336
ATSc5,-0.18274072589697538,-0.42207731776129687,-0.3175846334412184,-0.2218078065571454,0.04000084937677368,0.11011682891946618,-0.25490939532020035,0.1288254112785341,0.007921827830334257,-0.13938724436475736,0.11208286359188675,-0.09595136224958428,-0.027808805237116565,-0.017816011789625955,0.09563720620629482,0.02137463274100514,0.05974864598387659,0.03694753016986202,-0.0737976026424731,-0.0056974866537438515
ATSm1,0.31954481582902916,0.3539516091690919,0.0800946023241171,-0.016764888365363533,-0.17964781698868867,-0.15605978131416762,-0.15491566118456554,-0.0415311128041416,-0.22457207252452654,-0.06978875684518962,-0.2731905708888145,0.06930542451418108,0.18271838364915535,0.1094083217644354,0.0023626286827052407,0.146763616999978,-0.24189914727273656,-0.07576468456180971,0.013133443199268234,-0.011877474301499706
ATSm2,0.7847420472627147,0.49058176734154135,0.001485228342587523,-0.14501733377200932,-0.25006003473239913,-0.04234895380303872,-0.05666033398528635,-0.01270637138755016,-0.039871435146207605,-0.03986715856740342,-0.09183364963096706,0.062433171894084476,0.0002572825101013602,0.06335122931572962,-0.02323929791412227,0.05838280908751655,-0.08272931617225848,-0.046020534176298936,-0.02707832628873785,0.01663849783610696
ATSm3,0.7479207104662682,0.4927578783921836,0.0075964974683508085,-0.10225177559632519,-0.2711281152737018,-0.035279747968272886,-0.1383199407016248,0.06840287466826249,0.009163288077183696,-0.04778036710781901,-0.13725987995476768,0.09870919022932752,0.011864314206447119,0.0697198158026454,-0.00672914975745281,0.10838589499822386,-0.11443859440097502,-0.040191982706316506,-0.010534608851157111,-0.015063278451581473
ATSm4,0.7354751568321448,0.44889394050790393,0.05508498916628147,-0.06042699197888458,-0.15079614609014458,-0.015575619132408933,-0.16547062426963968,0.0795438764168688,0.016628726483334026,-0.03720993454875894,-0.16052078676763704,0.13934041577219217,0.035560002198135036,0.04050484862686271,0.04394309863661255,0.1545506313639022,-0.12182773441736484,-0.0065629875235361105,-0.011855794985534032,-0.00015745927304051412
