block_label,component,explained_variance_ratio,cumulative_explained_variance_ratio
block_Y_topological_connectivity_structure,16,0.012311971891451607,0.8296160728994093
block_Y_topological_connectivity_structure,17,0.01119366488659447,0.8408097377860038
block_Y_topological_connectivity_structure,18,0.01062171129250748,0.8514314490785112
block_Y_topological_connectivity_structure,19,0.009611023383449194,0.8610424724619604
block_Y_topological_connectivity_structure,20,0.008534671777259846,0.8695771442392203
block_Y_topological_connectivity_structure,21,0.008485152529566796,0.8780622967687871
block_Y_topological_connectivity_structure,22,0.008001768867155047,0.8860640656359422
block_Y_topological_connectivity_structure,23,0.007827886164453643,0.8938919518003958
block_Y_topological_connectivity_structure,24,0.007659981102858948,0.9015519329032547
block_Y_topological_connectivity_structure,25,0.0075920323402367245,0.9091439652434915
block_Y_topological_connectivity_structure,26,0.007469976846482747,0.9166139420899743
block_Y_topological_connectivity_structure,27,0.006916508556210785,0.923530450646185
block_Y_topological_connectivity_structure,28,0.0060485713381268616,0.9295790219843119
block_Y_topological_connectivity_structure,29,0.005688944908571143,0.935267966892883
block_Y_topological_connectivity_structure,30,0.0054984660612952575,0.9407664329541783
block_Y_topological_connectivity_structure,31,0.005112619344324048,0.9458790522985023
block_Y_topological_connectivity_structure,32,0.004565308466263684,0.950444360764766
block_Y_topological_connectivity_structure,33,0.004240391233639319,0.9546847519984053
block_Y_topological_connectivity_structure,34,0.003971409984349267,0.9586561619827546
block_Y_topological_connectivity_structure,35,0.003404199124409559,0.9620603611071642
block_Y_topological_connectivity_structure,36,0.003143125075702852,0.965203486182867
block_Y_topological_connectivity_structure,37,0.0028145901113087795,0.9680180762941758
block_Y_topological_connectivity_structure,38,0.002655866033092565,0.9706739423272683
block_Y_topological_connectivity_structure,39,0.0025212144541529057,0.9731951567814212
block_Y_topological_connectivity_structure,40,0.002409409028287352,0.9756045658097086
block_Y_topological_connectivity_structure,41,0.0020806019926929427,0.9776851678024014
block_Y_topological_connectivity_structure,42,0.0018915907033026807,0.9795767585057041
block_Y_topological_connectivity_structure,43,0.0017792114061247932,0.9813559699118289
block_Y_topological_connectivity_structure,44,0.0015531620604012273,0.9829091319722302
block_Y_topological_connectivity_structure,45,0.0014920952431205622,0.9844012272153507
block_Y_topological_connectivity_structure,46,0.001437006833384471,0.9858382340487352
block_Y_topological_connectivity_structure,47,0.0012970232078253871,0.9871352572565606
block_Y_topological_connectivity_structure,48,0.0012176574333474365,0.988352914689908
block_Y_topological_connectivity_structure,49,0.0011386044653202167,0.9894915191552283
block_Y_topological_connectivity_structure,50,0.0010057637436459027,0.9904972828988742
