component,descriptor_category,sum_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight,mean_squared_weight
PC2,BCUT,0.01412085219864925,6,0.9999999999999987,0.014120852198649269,0.0023534753664415414
PC2,Carbon types,0.019091420658700224,9,0.9999999999999987,0.01909142065870025,0.0021212689620778028
PC2,Chi cluster,0.016550454983879095,8,0.9999999999999987,0.016550454983879116,0.002068806872984887
PC2,Autocorrelation (charge),0.010078028604500458,5,0.9999999999999987,0.010078028604500472,0.0020156057209000915
PC2,Chi chain,0.019076314819165423,10,0.9999999999999987,0.019076314819165448,0.0019076314819165424
PC2,Autocorrelation (polarizability),0.009322561921646138,5,0.9999999999999987,0.00932256192164615,0.0018645123843292275
PC2,Molecular linear free energy relation,0.009775204070909399,6,0.9999999999999987,0.009775204070909413,0.0016292006784849
PC2,Molecular distance edge,0.0307855194003084,19,0.9999999999999987,0.03078551940030844,0.0016202904947530735
PC2,Largest chain,0.0016195735170164403,1,0.9999999999999987,0.0016195735170164425,0.0016195735170164403
PC2,Atom type electrotopological state,0.4321580795535222,270,0.9999999999999987,0.43215807955352276,0.00160058547982786
PC2,Bond count,0.01330402287078122,9,0.9999999999999987,0.013304022870781237,0.0014782247634201355
PC2,RingCountDescriptor,0.015228649961659988,11,0.9999999999999987,0.015228649961660009,0.0013844227237872716
PC2,ALOGP,0.0038994609572967284,3,0.9999999999999987,0.0038994609572967336,0.0012998203190989095
PC2,Wiener numbers,0.002420649444700129,2,0.9999999999999987,0.002420649444700132,0.0012103247223500646
PC2,BPol,0.0011608656367916121,1,0.9999999999999987,0.0011608656367916137,0.0011608656367916121
PC2,Atom count,0.015064524049846564,13,0.9999999999999987,0.015064524049846584,0.0011588095422958894
PC2,Ring count,0.020443522732144365,18,0.9999999999999987,0.020443522732144392,0.001135751262896909
PC2,APol,0.0009248342390798616,1,0.9999999999999987,0.0009248342390798628,0.0009248342390798616
PC2,FMFDescriptor,0.0009201469460814999,1,0.9999999999999987,0.0009201469460815011,0.0009201469460814999
PC2,Longest aliphatic chain,0.0008023068595581961,1,0.9999999999999987,0.0008023068595581972,0.0008023068595581961
PC2,Basic group count,0.000703382652391426,1,0.9999999999999987,0.000703382652391427,0.000703382652391426
PC2,Vertex adjacency information (magnitude),0.0005495336161906645,1,0.9999999999999987,0.0005495336161906653,0.0005495336161906645
PC2,Kappa shape indices,0.0015467651994879195,3,0.9999999999999987,0.0015467651994879217,0.0005155883998293065
PC2,Rotatable bonds count,0.0004609906827717554,1,0.9999999999999987,0.000460990682771756,0.0004609906827717554
PC2,Acidic group count,0.00039941765462481134,1,0.9999999999999987,0.0003994176546248119,0.00039941765462481134
PC2,McGowan volume,0.00031828926812831743,1,0.9999999999999987,0.00031828926812831786,0.00031828926812831743
PC2,Van der Waals volume,0.0002522960980822253,1,0.9999999999999987,0.0002522960980822256,0.0002522960980822253
PC2,Eccentric connectivity index,0.00024422752107100375,1,0.9999999999999987,0.00024422752107100407,0.00024422752107100375
PC2,Aromatic bonds count,0.00022201714522751084,1,0.9999999999999987,0.00022201714522751114,0.00022201714522751084
PC2,Zagreb index,0.00020545619848437902,1,0.9999999999999987,0.0002054561984843793,0.00020545619848437902
PC2,Aromatic atoms count,0.00012953900256861955,1,0.9999999999999987,0.0001295390025686197,0.00012953900256861955
PC2,Petitjean number,8.02310521505204e-05,1,0.9999999999999987,8.023105215052051e-05,8.02310521505204e-05
PC2,Autocorrelation (mass),0.00039322558839052476,5,0.9999999999999987,0.0003932255883905253,7.864511767810495e-05
PC2,Fragment complexity,6.058046411832622e-05,1,0.9999999999999987,6.0580464118326303e-05,6.058046411832622e-05
PC2,Rule of five,5.9809611450802435e-05,1,0.9999999999999987,5.9809611450802516e-05,5.9809611450802435e-05
PC2,Weight,5.091945485564834e-06,1,0.9999999999999987,5.091945485564841e-06,5.091945485564834e-06
PC3,Aromatic atoms count,0.019810732136504552,1,0.9999999999999989,0.019810732136504573,0.019810732136504552
PC3,Aromatic bonds count,0.018189095641232993,1,0.9999999999999989,0.018189095641233013,0.018189095641232993
PC3,FMFDescriptor,0.006992608702234449,1,0.9999999999999989,0.006992608702234457,0.006992608702234449
PC3,HybridizationRatioDescriptor,0.006677328820089877,1,0.9999999999999989,0.006677328820089885,0.006677328820089877
PC3,Largest Pi system,0.006450144627888432,1,0.9999999999999989,0.006450144627888439,0.006450144627888432
PC3,Carbon types,0.045846609713816364,9,0.9999999999999989,0.04584660971381641,0.005094067745979596
PC3,Crippen logP and MR,0.009172947221957621,2,0.9999999999999989,0.009172947221957632,0.004586473610978811
PC3,Chi cluster,0.03153464982036011,8,0.9999999999999989,0.031534649820360146,0.003941831227545014
PC3,Bond count,0.03483961734923201,9,0.9999999999999989,0.03483961734923205,0.003871068594359112
PC3,Vertex adjacency information (magnitude),0.00380979663432116,1,0.9999999999999989,0.0038097966343211644,0.00380979663432116
PC3,Molecular distance edge,0.06466035310603638,19,0.9999999999999989,0.06466035310603645,0.0034031764792650725
PC3,Extended topochemical atom,0.1450192815661916,43,0.9999999999999989,0.14501928156619176,0.0033725414317718975
PC3,Mannhold LogP,0.003328973185944755,1,0.9999999999999989,0.003328973185944759,0.003328973185944755
PC3,ALOGP,0.009800018426447213,3,0.9999999999999989,0.009800018426447224,0.003266672808815738
PC3,Largest chain,0.002440747550678937,1,0.9999999999999989,0.0024407475506789396,0.002440747550678937
PC3,Hbond donor count,0.004712848368341325,2,0.9999999999999989,0.00471284836834133,0.0023564241841706624
PC3,Zagreb index,0.001998141738261803,1,0.9999999999999989,0.001998141738261805,0.001998141738261803
PC3,Weighted path,0.008543917519670647,5,0.9999999999999989,0.008543917519670655,0.0017087835039341294
PC3,Atom type electrotopological state,0.45676619560490017,270,0.9999999999999989,0.45676619560490067,0.0016917266503885192
PC3,Molecular linear free energy relation,0.009341533167821915,6,0.9999999999999989,0.009341533167821926,0.0015569221946369859
PC3,Ring count,0.02755203369248612,18,0.9999999999999989,0.027552033692486152,0.0015306685384714512
PC3,Chi path cluster,0.009023307600129035,6,0.9999999999999989,0.009023307600129045,0.0015038846000215058
PC3,RingCountDescriptor,0.015092982792826207,11,0.9999999999999989,0.015092982792826224,0.0013720893448023826
PC3,Chi path,0.020081527796388728,16,0.9999999999999989,0.02008152779638875,0.0012550954872742955
PC3,Weight,0.00099874345897969,1,0.9999999999999989,0.0009987434589796911,0.00099874345897969
PC3,Autocorrelation (polarizability),0.004687120154870467,5,0.9999999999999989,0.004687120154870472,0.0009374240309740934
PC3,Autocorrelation (mass),0.004520755996711597,5,0.9999999999999989,0.004520755996711603,0.0009041511993423195
PC3,Wiener numbers,0.0018074254129312893,2,0.9999999999999989,0.0018074254129312912,0.0009037127064656446
PC3,Topological polar surface area,0.0008589125356750603,1,0.9999999999999989,0.0008589125356750613,0.0008589125356750603
