descriptor_category,n_descriptors,mean_VIP,median_VIP,max_VIP,n_VIP_ge_1,mean_abs_coefficient,sum_abs_coefficient,prop_VIP_ge_1
Autocorrelation (charge),5,1.1771363252658338,1.0690742863249212,1.5165571921451309,4,0.05711928368165166,0.2855964184082583,0.8
Molecular linear free energy relation,6,1.1467183014183149,1.013019465226261,1.765960176241279,3,0.04811252077102155,0.2886751246261293,0.5
ALOGP,3,1.1461021952414947,1.1085357816968093,1.55020851170119,2,0.024566910667671176,0.07370073200301352,0.6666666666666666
Kappa shape indices,3,1.1426952756475928,1.1729930016935193,1.2420549361832909,3,0.008775345811865289,0.02632603743559587,1.0
Wiener numbers,2,1.13453238093506,1.13453238093506,1.4081660002014653,1,0.011600994430096975,0.02320198886019395,0.5
Hbond acceptor count,4,1.1146927592702585,1.0356644783148998,1.5735413040510131,2,0.0579506421150524,0.2318025684602096,0.5
Weighted path,5,1.1102625672098614,1.09184570672739,1.4100519277648336,4,0.032171729856167244,0.1608586492808362,0.8
BCUT,6,1.0980469592006763,1.0620382256669307,1.6313301267302183,3,0.07566320151292641,0.45397920907755845,0.5
Autocorrelation (mass),5,1.0977145558263004,1.2067692998927804,1.2551463678491313,4,0.04574188579384125,0.22870942896920626,0.8
Fragment complexity,1,1.0848140394775239,1.0848140394775239,1.0848140394775239,1,0.020805885652501886,0.020805885652501886,1.0
Carbon types,9,1.0620270807948766,0.9503152117095819,1.8014430772323018,4,0.07256448470358956,0.653080362332306,0.4444444444444444
Hbond donor count,2,1.0062465907729294,1.0062465907729294,1.0190669566340687,1,0.019611591648771992,0.039223183297543984,0.5
Extended topochemical atom,43,1.006105125240601,1.0188064096320317,1.4064649034073213,22,0.028978444461419593,1.2460731118410424,0.5116279069767442
Topological polar surface area,1,1.0040155334046745,1.0040155334046745,1.0040155334046745,1,0.02963449638407103,0.02963449638407103,1.0
Chi path cluster,6,0.993738824696231,0.9988433841919835,1.011474453604221,3,0.05968130797598659,0.35808784785591957,0.5
Rotatable bonds count,1,0.9442463615213383,0.9442463615213383,0.9442463615213383,0,0.030517589588505756,0.030517589588505756,0.0
Molecular distance edge,19,0.9438136342271967,0.8267862697400852,1.8973336340098381,6,0.08058040084408614,1.5310276160376368,0.3157894736842105
Atom count,13,0.940723926381531,0.9286832514980281,1.6512180909222172,5,0.0239441282818258,0.31127366766373543,0.38461538461538464
Basic group count,1,0.9277219459894148,0.9277219459894148,0.9277219459894148,0,0.013852439213357019,0.013852439213357019,0.0
Largest chain,1,0.8580790156458765,0.8580790156458765,0.8580790156458765,0,0.03505905014761103,0.03505905014761103,0.0
Longest aliphatic chain,1,0.8561026320105337,0.8561026320105337,0.8561026320105337,0,0.09895819103993944,0.09895819103993944,0.0
RingCountDescriptor,11,0.8538901420652425,0.8280488796120106,1.6622668400787701,1,0.02790645576884295,0.30697101345727246,0.09090909090909091
Atom type electrotopological state,270,0.8455767697809969,0.786225713788302,2.0117570582577238,74,0.0441595828668836,11.923087374058573,0.2740740740740741
Chi cluster,8,0.7987735772146836,0.7855144994690559,0.979146956384104,0,0.07047798129202884,0.5638238503362307,0.0
HybridizationRatioDescriptor,1,0.7892495668748173,0.7892495668748173,0.7892495668748173,0,0.007253210053731142,0.007253210053731142,0.0
Ring count,18,0.7517499394891465,0.7589948910226851,1.6487346892210262,2,0.028116086359417036,0.5060895544695067,0.1111111111111111
Chi chain,10,0.7298484770980869,0.8043347109944035,0.953225656810327,0,0.03308176646995495,0.3308176646995495,0.0
FMFDescriptor,1,0.6701612572149256,0.6701612572149256,0.6701612572149256,0,0.07110545184491919,0.07110545184491919,0.0
Acidic group count,1,0.6624181290718693,0.6624181290718693,0.6624181290718693,0,0.05459450031751099,0.05459450031751099,0.0
Rule of five,1,0.6519087101703023,0.6519087101703023,0.6519087101703023,0,0.010718081100107706,0.010718081100107706,0.0
Largest Pi system,1,0.6432676645826408,0.6432676645826408,0.6432676645826408,0,0.05615053188998377,0.05615053188998377,0.0
Petitjean number,1,0.4003317190452827,0.4003317190452827,0.4003317190452827,0,0.03074657704489814,0.03074657704489814,0.0
